SalesTransactionID,SaleDateTime,LocationID,ShipTo,SaleAmount,SaleTaxAmount,TotalSaleAmount,FeeAmount,FeePcntRate,PerTranAmount,Dispensed_Fuel_Additives_Quantity,Dispensed_Fuel_Additives_Amount,Merchandise_Quantity,Merchandise_Amount
3188065216,14:00.0,14035,899157200,5.46,0.18,5.46,-0.23,0.0095,0.18,0,0,2,5.28
3188065219,15:00.0,14035,899157200,5.13,0.34,5.13,-0.23,0.0095,0.18,0,0,2,4.79
3188065220,50:00.0,14035,899157200,5.72,0.24,5.72,-0.23,0.0095,0.18,0,0,2,5.48
3188065273,58:00.0,14035,899157200,5.13,0.34,5.13,-0.23,0.0095,0.18,0,0,2,4.79
3188065296,20:00.0,13484,920599800,5.14,0.39,5.14,-0.23,0.0095,0.18,0,0,2,4.75
3188065328,47:00.0,11017,436191100,5.23,0.25,5.23,-0.23,0.0095,0.18,0,0,2,4.98
3188065349,39:00.0,14035,899157200,5.13,0.34,5.13,-0.23,0.0095,0.18,0,0,2,4.79
3188065443,23:00.0,10483,309664100,5.05,0.07,5.05,-0.23,0.0095,0.18,0,0,2,4.98
3188065478,08:00.0,14252,877214700,5.5,0.42,5.5,-0.23,0.0095,0.18,0,0,2,5.08
3188065480,36:00.0,14252,877214700,5.55,0.27,5.55,-0.23,0.0095,0.18,0,0,2,5.28
3188065582,21:00.0,13076,779369800,5.35,0.35,5.35,-0.23,0.0095,0.18,0,0,2,5
3188065619,24:00.0,9701,171975600,5.38,0.4,5.38,-0.23,0.0095,0.18,0,0,2,4.98
3188065644,44:00.0,9701,171975600,5.37,0.08,5.37,-0.23,0.0095,0.18,0,0,2,5.29
3188065646,45:00.0,9701,171975600,5.36,0.08,5.36,-0.23,0.0095,0.18,0,0,2,5.28
3188065691,14:00.0,12439,594547200,5.12,0.24,5.12,-0.23,0.0095,0.18,0,0,2,4.88
3188065765,31:00.0,12439,594547200,5.72,0.44,5.72,-0.23,0.0095,0.18,0,0,2,5.28
3188065766,45:00.0,12439,594547200,5.01,0.23,5.01,-0.23,0.0095,0.18,0,0,2,4.78
3188065769,22:00.0,12439,594547200,5.53,0.25,5.53,-0.23,0.0095,0.18,0,0,2,5.28
3188065781,39:00.0,13464,891053100,5.5,0.32,5.5,-0.23,0.0095,0.18,0,0,2,5.18
3188065810,22:00.0,13383,699900700,5.61,0.43,5.61,-0.23,0.0095,0.18,0,0,2,5.18
3188065812,21:00.0,13383,699900700,5.66,0.18,5.66,-0.23,0.0095,0.18,0,0,2,5.48
3188065824,31:00.0,9164,23206600,5.52,0.25,5.52,-0.23,0.0095,0.18,0,0,2,5.27
3188065850,55:00.0,12678,589818400,5.29,0.31,5.29,-0.23,0.0095,0.18,0,0,2,4.98
3188066054,03:00.0,13464,891053100,5.17,0.19,5.17,-0.23,0.0095,0.18,0,0,2,4.98
3188066177,04:00.0,9791,166462200,5.09,0.32,5.09,-0.23,0.0095,0.18,0,0,2,4.77
3188066179,13:00.0,9791,166462200,5.43,0.25,5.43,-0.23,0.0095,0.18,0,0,2,5.18
3188066181,04:00.0,9791,166462200,5.7,0.22,5.7,-0.23,0.0095,0.18,0,0,2,5.48
3188066182,06:00.0,9791,166462200,5.2,0.22,5.2,-0.23,0.0095,0.18,0,0,2,4.98
3188066187,24:00.0,9791,166462200,5.1,0.32,5.1,-0.23,0.0095,0.18,0,0,2,4.78
3188066188,48:00.0,9791,166462200,5.32,0.34,5.32,-0.23,0.0095,0.18,0,0,2,4.98
3188066190,09:00.0,9791,166462200,5.64,0.36,5.64,-0.23,0.0095,0.18,0,0,2,5.28
3188066197,37:00.0,12678,589818400,5.31,0.31,5.31,-0.23,0.0095,0.18,0,0,2,5
3188066198,17:00.0,12678,589818400,5.29,0.31,5.29,-0.23,0.0095,0.18,0,0,2,4.98
3188066214,31:00.0,14345,936038900,5.74,0.26,5.74,-0.23,0.0095,0.18,0,0,2,5.48
3188066281,50:00.0,14117,845125400,5.29,0.11,5.29,-0.23,0.0095,0.18,0,0,2,5.18
3188066283,33:00.0,14117,845125400,5.61,0.32,5.61,-0.23,0.0095,0.18,0,0,2,5.29
3188066322,17:00.0,9791,166462200,5.64,0.36,5.64,-0.23,0.0095,0.18,0,0,2,5.28
3188066380,07:00.0,9791,166462200,5.32,0.34,5.32,-0.23,0.0095,0.18,0,0,2,4.98
3188066381,06:00.0,9791,166462200,5.53,0.35,5.53,-0.23,0.0095,0.18,0,0,2,5.18
3188066385,26:00.0,9791,166462200,5.64,0.36,5.64,-0.23,0.0095,0.18,0,0,2,5.28
3188066503,05:00.0,10621,309194900,5.54,0.16,5.54,-0.23,0.0095,0.18,0,0,2,5.38
3188066505,45:00.0,10621,309194900,5.23,0.34,5.23,-0.23,0.0095,0.18,0,0,2,4.89
3188066508,47:00.0,10621,309194900,5.25,0.17,5.25,-0.23,0.0095,0.18,0,0,2,5.08
3188066536,03:00.0,9651,151926300,5.29,0.21,5.29,-0.23,0.0095,0.18,0,0,2,5.08
3188066542,58:00.0,9651,151926300,5.73,0.44,5.73,-0.23,0.0095,0.18,0,0,2,5.29
3188066584,15:00.0,11954,486667900,5.6,0.22,5.6,-0.23,0.0095,0.18,0,0,2,5.38
3188066587,41:00.0,11954,486667900,5.29,0.21,5.29,-0.23,0.0095,0.18,0,0,2,5.08
3188066590,47:00.0,9651,151926300,5.1,0.22,5.1,-0.23,0.0095,0.18,0,0,2,4.88
3188066626,33:00.0,11923,492303300,5.08,0.08,5.08,-0.23,0.0095,0.18,0,0,2,5
3188066627,46:00.0,11923,492303300,5.37,0.08,5.37,-0.23,0.0095,0.18,0,0,2,5.29
3188066631,03:00.0,11923,492303300,5.7,0.22,5.7,-0.23,0.0095,0.18,0,0,2,5.48
3188066647,51:00.0,11909,426875100,5.61,0.13,5.61,-0.23,0.0095,0.18,0,0,2,5.48
3188066651,02:00.0,11909,426875100,5.17,0.39,5.17,-0.23,0.0095,0.18,0,0,2,4.78
3188066661,52:00.0,13969,979796000,5.5,0.42,5.5,-0.23,0.0095,0.18,0,0,2,5.08
3188066713,07:00.0,13969,979796000,5.23,0.25,5.23,-0.23,0.0095,0.18,0,0,2,4.98
3188066714,08:00.0,13969,979796000,5.61,0.43,5.61,-0.23,0.0095,0.18,0,0,2,5.18
3188066715,34:00.0,13969,979796000,5.61,0.43,5.61,-0.23,0.0095,0.18,0,0,2,5.18
3188066771,48:00.0,11986,603700600,5.73,0.44,5.73,-0.23,0.0095,0.18,0,0,2,5.29
3188066819,18:00.0,11954,486667900,5.07,0.39,5.07,-0.23,0.0095,0.18,0,0,2,4.68
3188066873,04:00.0,14179,946106200,5.03,0.45,5.03,-0.23,0.0095,0.18,0,0,2,4.58
3188066885,22:00.0,10915,344099700,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188066886,32:00.0,10915,344099700,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188066893,56:00.0,10915,344099700,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188066929,03:00.0,13496,927524900,5.4,0.64,5.4,-0.23,0.0095,0.18,0,0,2,4.76
3188066931,07:00.0,13496,927524900,5.46,0.08,5.46,-0.23,0.0095,0.18,0,0,2,5.38
3188066933,46:00.0,13496,927524900,5.05,0.07,5.05,-0.23,0.0095,0.18,0,0,2,4.98
3188066937,56:00.0,13496,927524900,5.16,0.08,5.16,-0.23,0.0095,0.18,0,0,2,5.08
3188066970,09:00.0,14552,970928800,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188067065,40:00.0,11954,486667900,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067066,02:00.0,11954,486667900,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188067067,25:00.0,11954,486667900,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067097,33:00.0,9651,151926300,5.23,0.25,5.23,-0.23,0.0095,0.18,0,0,2,4.98
3188067134,38:00.0,11909,426875100,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067135,35:00.0,11909,426875100,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067136,25:00.0,11909,426875100,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067416,26:00.0,14478,983413600,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067433,16:00.0,11986,603700600,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188067434,08:00.0,11986,603700600,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188067525,22:00.0,12439,594547200,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067527,55:00.0,12439,594547200,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067667,15:00.0,14552,970928800,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067670,13:00.0,14552,970928800,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188067723,25:00.0,14401,905265500,5.64,0.14,5.64,-0.23,0.0095,0.18,0,0,2,5.5
3188067740,28:00.0,11017,436191100,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3188067781,37:00.0,13383,699900700,5.39,0.41,5.39,-0.23,0.0095,0.18,0,0,2,4.98
3188068372,18:00.0,14345,936038900,5.41,0.41,5.41,-0.23,0.0095,0.18,0,0,2,5
3187968674,00:00.0,13026,825800600,5.17,0.39,5.17,-0.23,0.0095,0.18,0,0,2,4.78
3187968800,48:00.0,11447,448646000,5.71,0.13,5.71,-0.23,0.0095,0.18,0,0,2,5.58
3187968802,06:00.0,11447,448646000,5.23,0.25,5.23,-0.23,0.0095,0.18,0,0,2,4.98
3187968805,12:00.0,11447,448646000,5.17,0.39,5.17,-0.23,0.0095,0.18,0,0,2,4.78
3187968807,24:00.0,11447,448646000,5.5,0.42,5.5,-0.23,0.0095,0.18,0,0,2,5.08
3187968808,52:00.0,11447,448646000,5.73,0.44,5.73,-0.23,0.0095,0.18,0,0,2,5.29
3187968819,31:00.0,11898,474632700,5.1,0.12,5.1,-0.23,0.0095,0.18,0,0,2,4.98
3187968899,11:00.0,13253,817260300,5.58,0.3,5.58,-0.23,0.0095,0.18,0,0,2,5.28
3187968900,23:00.0,13253,817260300,5.73,0.44,5.73,-0.23,0.0095,0.18,0,0,2,5.29
3187968901,14:00.0,13253,817260300,5.17,0.39,5.17,-0.23,0.0095,0.18,0,0,2,4.78
3187968946,24:00.0,10070,204144000,5.72,0.24,5.72,-0.23,0.0095,0.18,0,0,2,5.48
3187968947,02:00.0,10070,204144000,5.75,0.07,5.75,-0.23,0.0095,0.18,0,0,2,5.68
3187968948,25:00.0,10070,204144000,5.27,0.3,5.27,-0.23,0.0095,0.18,0,0,2,4.97
3187968963,12:00.0,12768,605532100,5.21,0.38,5.21,-0.23,0.0095,0.18,0,0,2,4.83
3187968978,49:00.0,11869,608104600,5.19,0.21,5.19,-0.23,0.0095,0.18,0,0,2,4.98
3187968980,50:00.0,11869,608104600,5.62,0.14,5.62,-0.23,0.0095,0.18,0,0,2,5.48
3187968981,15:00.0,11869,608104600,5.31,0.13,5.31,-0.23,0.0095,0.18,0,0,2,5.18
3187969006,35:00.0,11977,461550600,5.26,0.08,5.26,-0.23,0.0095,0.18,0,0,2,5.18
3187969063,29:00.0,11977,461550600,5.71,0.43,5.71,-0.23,0.0095,0.18,0,0,2,5.28
3187969092,05:00.0,10070,204144000,5.63,0.15,5.63,-0.23,0.0095,0.18,0,0,2,5.48
3187969168,58:00.0,12567,601823800,5.23,0.25,5.23,-0.23,0.0095,0.18,0,0,2,4.98
3187969169,58:00.0,12567,601823800,5.14,0.16,5.14,-0.23,0.0095,0.18,0,0,2,4.98
3187969171,19:00.0,12567,601823800,5.32,0.24,5.32,-0.23,0.0095,0.18,0,0,2,5.08
3187969254,23:00.0,9564,114914500,5.01,0.22,5.01,-0.23,0.0095,0.18,0,0,2,4.79
3187969258,00:00.0,9564,114914500,5.48,0.4,5.48,-0.23,0.0095,0.18,0,0,2,5.08
3187969284,44:00.0,10780,317081800,5.6,0.22,5.6,-0.23,0.0095,0.18,0,0,2,5.38
3187969286,59:00.0,10780,317081800,5.07,0.39,5.07,-0.23,0.0095,0.18,0,0,2,4.68
3187969301,07:00.0,11864,452337900,5.16,0.38,5.16,-0.23,0.0095,0.18,0,0,2,4.78
3187969303,02:00.0,11864,452337900,5.71,0.42,5.71,-0.23,0.0095,0.18,0,0,2,5.29
3187969337,31:00.0,12480,578678500,5.23,0.25,5.23,-0.23,0.0095,0.18,0,0,2,4.98
3187969340,50:00.0,12480,578678500,5.14,0.16,5.14,-0.23,0.0095,0.18,0,0,2,4.98
3187969342,40:00.0,12480,578678500,5.09,0.21,5.09,-0.23,0.0095,0.18,0,0,2,4.88
3187969368,33:00.0,11881,470609900,5.36,0.08,5.36,-0.23,0.0095,0.18,0,0,2,5.28
3187969372,19:00.0,9834,189125800,5.07,0.39,5.07,-0.23,0.0095,0.18,0,0,2,4.68
3187969373,17:00.0,9834,189125800,5.21,0.13,5.21,-0.23,0.0095,0.18,0,0,2,5.08
3187969380,28:00.0,13675,940827900,5.1,0.12,5.1,-0.23,0.0095,0.18,0,0,2,4.98
3187969392,48:00.0,11864,452337900,5.14,0.26,5.14,-0.23,0.0095,0.18,0,0,2,4.88
3187969402,23:00.0,11864,452337900,5.22,0.24,5.22,-0.23,0.0095,0.18,0,0,2,4.98
