Site_ID,Grade_Description,Date,Volume
10808,Unleaded Gas,2019-09-04,1626.08
10808,Unleaded Gas,2019-09-05,1528.1
10808,Unleaded Gas,2019-09-06,2184.34
10808,Unleaded Gas,2019-09-07,1697.47
10808,Unleaded Gas,2019-09-08,971.25
10808,Unleaded Gas,2019-09-09,1449.76
10808,Unleaded Gas,2019-09-10,1737.77
10808,Unleaded Gas,2019-09-11,1901.22
10808,Unleaded Gas,2019-09-12,2185.89
10808,Unleaded Gas,2019-09-13,2379.66
10808,Unleaded Gas,2019-09-14,1091.84
10808,Unleaded Gas,2019-09-15,1421.39
10808,Unleaded Gas,2019-09-16,1832.85
10808,Unleaded Gas,2019-09-17,2623.27
10808,Unleaded Gas,2019-09-18,2232.14
10808,Unleaded Gas,2019-09-19,1438.4
10808,Unleaded Gas,2019-09-20,1651.42
10808,Unleaded Gas,2019-09-21,1276.94
10808,Unleaded Gas,2019-09-22,1000.78
10808,Unleaded Gas,2019-09-23,1503.6
10808,Unleaded Gas,2019-09-24,1455.95
10808,Unleaded Gas,2019-09-25,1540.54
10808,Unleaded Gas,2019-09-26,1737.21
10808,Unleaded Gas,2019-09-27,2305.56
10808,Unleaded Gas,2019-09-28,1485.48
10808,Unleaded Gas,2019-09-29,988.84
10808,Unleaded Gas,2019-09-30,1646.13
10808,Unleaded Gas,2019-10-01,1869.06
10808,Unleaded Gas,2019-10-02,1743.82
10808,Unleaded Gas,2019-10-03,1629.11
10808,Unleaded Gas,2019-10-04,1776.39
10808,Unleaded Gas,2019-10-05,1564.45
10808,Unleaded Gas,2019-10-06,1096.03
10808,Unleaded Gas,2019-10-07,1386.53
10808,Unleaded Gas,2019-10-08,1308.63
10808,Unleaded Gas,2019-10-09,1396.8
10808,Unleaded Gas,2019-10-10,1678.18
10808,Unleaded Gas,2019-10-11,2032.8
10808,Unleaded Gas,2019-10-12,1237.74
10808,Unleaded Gas,2019-10-13,834.5
10808,Unleaded Gas,2019-10-14,1579.27
10808,Unleaded Gas,2019-10-15,1467.23
10808,Unleaded Gas,2019-10-16,1279.52
10808,Unleaded Gas,2019-10-17,1385.9
10808,Unleaded Gas,2019-10-18,1639.75
10808,Unleaded Gas,2019-10-19,1077.42
10808,Unleaded Gas,2019-10-20,1026.38
10808,Unleaded Gas,2019-10-21,1521.06
10808,Unleaded Gas,2019-10-22,1522.85
10808,Unleaded Gas,2019-10-23,1231.74
10808,Unleaded Gas,2019-10-24,1571.2
10808,Unleaded Gas,2019-10-25,1916.94
10808,Unleaded Gas,2019-10-26,1553.36
10808,Unleaded Gas,2019-10-27,990.34
10808,Unleaded Gas,2019-10-28,1482.51
10808,Unleaded Gas,2019-10-29,1733.23
10808,Unleaded Gas,2019-10-30,1765.6
10808,Unleaded Gas,2019-10-31,1915.95
10808,Unleaded Gas,2019-11-01,2469.66
10808,Unleaded Gas,2019-11-02,1359.58
10808,Unleaded Gas,2019-11-03,1205.34
10808,Unleaded Gas,2019-11-04,1561.07
10808,Unleaded Gas,2019-11-05,1487.17
10808,Unleaded Gas,2019-11-06,1374.89
10808,Unleaded Gas,2019-11-07,1701.88
10808,Unleaded Gas,2019-11-08,1682.55
10808,Unleaded Gas,2019-11-09,1182.59
10808,Unleaded Gas,2019-11-10,633.74
10808,Unleaded Gas,2019-11-11,821.77
10808,Unleaded Gas,2019-11-12,1422.53
10808,Unleaded Gas,2019-11-13,1628.5
10808,Unleaded Gas,2019-11-14,1684.03
10808,Unleaded Gas,2019-11-15,2019.62
10808,Unleaded Gas,2019-11-16,1299.43
10808,Unleaded Gas,2019-11-17,697.37
10808,Unleaded Gas,2019-11-18,1511.39
10808,Unleaded Gas,2019-11-19,1438.12
10808,Unleaded Gas,2019-11-20,1324.19
10808,Unleaded Gas,2019-11-21,1603.82
10808,Unleaded Gas,2019-11-22,1952.22
10808,Unleaded Gas,2019-11-23,1318.77
10808,Unleaded Gas,2019-11-24,1090.24
10808,Unleaded Gas,2019-11-25,1474.64
10808,Unleaded Gas,2019-11-26,1488.09
10808,Unleaded Gas,2019-11-27,1614.21
10808,Unleaded Gas,2019-11-28,1190.96
10808,Unleaded Gas,2019-11-29,1472.62
10808,Unleaded Gas,2019-11-30,1079.42
10808,Unleaded Gas,2019-12-01,1209.44
10808,Unleaded Gas,2019-12-02,1101.0
10808,Unleaded Gas,2019-12-03,117.0
10808,Unleaded Gas,2019-12-10,0.0
10808,Unleaded Gas,2019-12-11,0.0
10808,Unleaded Gas,2019-12-12,533.0
10808,Unleaded Gas,2019-12-13,784.0
10808,Unleaded Gas,2019-12-14,1199.0
10808,Unleaded Gas,2019-12-15,787.0
10808,Unleaded Gas,2019-12-16,614.0
10808,Unleaded Gas,2019-12-17,0.0
10808,Unleaded Gas,2019-12-18,0.0
10808,Unleaded Gas,2019-12-19,0.0
10808,Unleaded Gas,2019-12-20,0.0
