Site_ID,Grade_Description,Date,Profit
10808,Unleaded Gas,2019-07-27,211.87
10808,Unleaded Gas,2019-07-28,67.89
10808,Unleaded Gas,2019-07-29,73.92
10808,Unleaded Gas,2019-07-30,78.33
10808,Unleaded Gas,2019-07-31,220.99
10808,Unleaded Gas,2019-08-01,23.18
10808,Unleaded Gas,2019-08-02,219.4
10808,Unleaded Gas,2019-08-03,167.44
10808,Unleaded Gas,2019-08-04,105.77
10808,Unleaded Gas,2019-08-05,146.13
10808,Unleaded Gas,2019-08-06,130.28
10808,Unleaded Gas,2019-08-07,145.75
10808,Unleaded Gas,2019-08-08,107.6
10808,Unleaded Gas,2019-08-09,212.02
10808,Unleaded Gas,2019-08-10,123.51
10808,Unleaded Gas,2019-08-11,138.23
10808,Unleaded Gas,2019-08-12,211.49
10808,Unleaded Gas,2019-08-13,160.25
10808,Unleaded Gas,2019-08-14,112.99
10808,Unleaded Gas,2019-08-15,83.9
10808,Unleaded Gas,2019-08-17,15.58
10808,Unleaded Gas,2019-08-18,4.96
10808,Unleaded Gas,2019-08-19,-84.54
10808,Unleaded Gas,2019-08-20,-126.84
10808,Unleaded Gas,2019-08-21,-157.51
10808,Unleaded Gas,2019-08-22,114.23
10808,Unleaded Gas,2019-08-23,71.48
10808,Unleaded Gas,2019-08-24,26.87
10808,Unleaded Gas,2019-08-25,-1.31
10808,Unleaded Gas,2019-08-26,-2.17
10808,Unleaded Gas,2019-08-27,-37.96
10808,Unleaded Gas,2019-08-28,-52.16
10808,Unleaded Gas,2019-08-29,-66.59
10808,Unleaded Gas,2019-08-30,19.61
10808,Unleaded Gas,2019-08-31,38.57
10808,Unleaded Gas,2019-09-01,-111.99
10808,Unleaded Gas,2019-09-02,-102.4
10808,Unleaded Gas,2019-09-03,-109.59
10808,Unleaded Gas,2019-09-04,-98.0
10808,Unleaded Gas,2019-09-05,-98.49
10808,Unleaded Gas,2019-09-06,-140.64
10808,Unleaded Gas,2019-09-07,-132.44
10808,Unleaded Gas,2019-09-08,-75.9
10808,Unleaded Gas,2019-09-09,-113.35
10808,Unleaded Gas,2019-09-10,-168.43
10808,Unleaded Gas,2019-09-11,-141.16
10808,Unleaded Gas,2019-09-12,-214.45
10808,Unleaded Gas,2019-09-14,-104.56
10808,Unleaded Gas,2019-09-15,-136.57
10808,Unleaded Gas,2019-09-16,-176.8
10808,Unleaded Gas,2019-09-18,-169.02
10808,Unleaded Gas,2019-09-19,12.9
10808,Unleaded Gas,2019-09-20,10.71
10808,Unleaded Gas,2019-09-21,8.5
10808,Unleaded Gas,2019-09-22,-23.51
10808,Unleaded Gas,2019-09-23,-14.96
10808,Unleaded Gas,2019-09-24,-38.02
10808,Unleaded Gas,2019-09-25,-22.54
10808,Unleaded Gas,2019-09-26,-19.29
10808,Unleaded Gas,2019-09-27,-39.44
10808,Unleaded Gas,2019-09-28,-56.69
10808,Unleaded Gas,2019-09-29,-24.6
10808,Unleaded Gas,2019-09-30,19.77
10808,Unleaded Gas,2019-10-01,113.25
10808,Unleaded Gas,2019-10-02,99.34
10808,Unleaded Gas,2019-10-03,99.24
10808,Unleaded Gas,2019-10-04,165.41
10808,Unleaded Gas,2019-10-05,146.22
10808,Unleaded Gas,2019-10-06,67.32
10808,Unleaded Gas,2019-10-07,135.26
10808,Unleaded Gas,2019-10-08,127.64
10808,Unleaded Gas,2019-10-09,173.03
10808,Unleaded Gas,2019-10-10,94.99
10808,Unleaded Gas,2019-10-11,85.46
10808,Unleaded Gas,2019-10-12,52.2
10808,Unleaded Gas,2019-10-13,24.74
10808,Unleaded Gas,2019-10-14,50.01
10808,Unleaded Gas,2019-10-15,46.73
10808,Unleaded Gas,2019-10-16,16.46
10808,Unleaded Gas,2019-10-17,49.14
10808,Unleaded Gas,2019-10-18,55.02
10808,Unleaded Gas,2019-10-19,36.96
10808,Unleaded Gas,2019-10-20,43.22
10808,Unleaded Gas,2019-10-21,49.74
10808,Unleaded Gas,2019-10-22,65.06
10808,Unleaded Gas,2019-10-23,40.29
10808,Unleaded Gas,2019-10-24,64.53
10808,Unleaded Gas,2019-10-25,104.48
10808,Unleaded Gas,2019-10-26,154.89
10808,Unleaded Gas,2019-10-27,3.68
10808,Unleaded Gas,2019-10-28,2.43
10808,Unleaded Gas,2019-10-29,-42.45
10808,Unleaded Gas,2019-10-30,4.28
10808,Unleaded Gas,2019-10-31,-33.5
10808,Unleaded Gas,2019-11-01,-31.01
10808,Unleaded Gas,2019-11-02,-34.04
10808,Unleaded Gas,2019-11-03,-29.66
10808,Unleaded Gas,2019-11-04,-38.62
10808,Unleaded Gas,2019-11-05,-37.65
10808,Unleaded Gas,2019-11-06,-50.16
10808,Unleaded Gas,2019-11-07,-59.34
10808,Unleaded Gas,2019-11-08,-67.9
10808,Unleaded Gas,2019-11-09,-24.51
10808,Unleaded Gas,2019-11-10,-12.33
10808,Unleaded Gas,2019-11-11,-15.4
10808,Unleaded Gas,2019-11-12,-26.46
10808,Unleaded Gas,2019-11-13,-19.3
10808,Unleaded Gas,2019-11-14,29.24
10808,Unleaded Gas,2019-11-15,-52.91
10808,Unleaded Gas,2019-11-16,-0.76
10808,Unleaded Gas,2019-11-17,-0.17
10808,Unleaded Gas,2019-11-18,-0.46
10808,Unleaded Gas,2019-11-19,-4.4
10808,Unleaded Gas,2019-11-20,-15.25
10808,Unleaded Gas,2019-11-21,168.49
10808,Unleaded Gas,2019-11-22,80.91
10808,Unleaded Gas,2019-11-23,38.23
10808,Unleaded Gas,2019-11-24,23.6
10808,Unleaded Gas,2019-11-25,-3.4
10808,Unleaded Gas,2019-11-26,23.58
10808,Unleaded Gas,2019-11-27,24.5
10808,Unleaded Gas,2019-11-28,13.91
10808,Unleaded Gas,2019-11-29,3.82
10808,Unleaded Gas,2019-11-30,30.46
10808,Unleaded Gas,2019-12-01,-24.99
10808,Unleaded Gas,2019-12-02,-16.0
10808,Unleaded Gas,2019-12-03,-2.0
10808,Unleaded Gas,2019-12-10,0.0
10808,Unleaded Gas,2019-12-11,0.0
10808,Unleaded Gas,2019-12-12,56.0
10808,Unleaded Gas,2019-12-13,70.0
10808,Unleaded Gas,2019-12-14,106.0
10808,Unleaded Gas,2019-12-15,71.0
10808,Unleaded Gas,2019-12-16,55.0
10808,Unleaded Gas,2019-12-17,0.0
10808,Unleaded Gas,2019-12-18,0.0
10808,Unleaded Gas,2019-12-19,0.0
10808,Unleaded Gas,2019-12-20,0.0
10808,Unleaded Gas,2019-12-21,0.0
10808,Unleaded Gas,2019-12-22,0.0
10808,Unleaded Gas,2019-12-23,41.0
10808,Unleaded Gas,2019-12-24,46.0
10808,Unleaded Gas,2019-12-26,-17.0
10808,Unleaded Gas,2019-12-27,14.0
10808,Unleaded Gas,2019-12-28,20.0
10808,Unleaded Gas,2019-12-29,14.0
10808,Unleaded Gas,2019-12-30,26.0
