Site_ID,Grade_Description,Date,Price,Fuel Cost
10808,Midgrade Gas,2/15/2019,2.359,1.658023231
10808,Premium Gas,2/15/2019,2.549,1.786702212
10808,Unleaded Gas,2/15/2019,1.999,1.5729
10808,Midgrade Gas,2/16/2019,2.359,1.697642126
10808,Premium Gas,2/16/2019,2.549,1.773414862
10808,Unleaded Gas,2/16/2019,1.999,1.5729
10808,Midgrade Gas,2/17/2019,2.359,1.672314183
10808,Premium Gas,2/17/2019,2.549,1.761183106
10808,Unleaded Gas,2/17/2019,1.999,1.5729
10808,Midgrade Gas,2/18/2019,2.359,1.674853028
10808,Premium Gas,2/18/2019,2.549,1.7464916
10808,Unleaded Gas,2/18/2019,1.999,1.5729
10808,Midgrade Gas,2/19/2019,2.439,1.650284538
10808,Premium Gas,2/19/2019,2.629,1.774939734
10808,Unleaded Gas,2/19/2019,2.079,1.5638
10808,Midgrade Gas,2/20/2019,2.379,1.715544029
10808,Premium Gas,2/20/2019,2.569,1.778392302
10808,Unleaded Gas,2/20/2019,2.019,1.5981
10808,Midgrade Gas,2/21/2019,2.419,1.710331693
10808,Premium Gas,2/21/2019,2.609,1.841927849
10808,Unleaded Gas,2/21/2019,2.059,1.6144
10808,Midgrade Gas,2/22/2019,2.439,1.70727309
10808,Premium Gas,2/22/2019,2.629,1.811864479
10808,Unleaded Gas,2/22/2019,2.079,1.6112
10808,Midgrade Gas,2/23/2019,2.439,1.68820373
10808,Premium Gas,2/23/2019,2.629,1.788197458
10808,Unleaded Gas,2/23/2019,2.079,1.6112
10808,Midgrade Gas,2/24/2019,2.439,1.711858506
10808,Premium Gas,2/24/2019,2.629,1.789150247
10808,Unleaded Gas,2/24/2019,2.079,1.6112
10808,Midgrade Gas,2/25/2019,2.439,1.631977053
10808,Premium Gas,2/25/2019,2.629,1.771107397
10808,Unleaded Gas,2/25/2019,2.079,1.5452
10808,Midgrade Gas,2/26/2019,2.439,1.706689012
10808,Premium Gas,2/26/2019,2.629,1.795680665
10808,Unleaded Gas,2/26/2019,2.079,1.5863
10808,Midgrade Gas,2/27/2019,2.439,1.721346035
10808,Premium Gas,2/27/2019,2.629,1.819009898
10808,Unleaded Gas,2/27/2019,2.079,1.634
10808,Midgrade Gas,2/28/2019,2.459,1.737072861
10808,Premium Gas,2/28/2019,2.649,1.843105647
10808,Unleaded Gas,2/28/2019,2.099,1.6293
10808,Midgrade Gas,3/1/2019,2.459,1.85000378
10808,Premium Gas,3/1/2019,2.649,1.90415651
10808,Unleaded Gas,3/1/2019,2.099,1.7303
10808,Midgrade Gas,3/2/2019,2.459,1.823329256
10808,Premium Gas,3/2/2019,2.649,1.935772797
10808,Unleaded Gas,3/2/2019,2.099,1.7303
10808,Midgrade Gas,3/3/2019,2.459,1.842094284
10808,Premium Gas,3/3/2019,2.649,1.955536775
10808,Unleaded Gas,3/3/2019,2.099,1.7303
10808,Midgrade Gas,3/4/2019,2.479,1.841670058
10808,Premium Gas,3/4/2019,2.669,1.955365868
10808,Unleaded Gas,3/4/2019,2.119,1.749
10808,Midgrade Gas,3/5/2019,2.479,1.856278131
10808,Premium Gas,3/5/2019,2.669,1.943784602
10808,Unleaded Gas,3/5/2019,2.119,1.7674
10808,Midgrade Gas,3/6/2019,2.499,1.91604165
10808,Premium Gas,3/6/2019,2.689,2.001171657
10808,Unleaded Gas,3/6/2019,2.139,1.789
10808,Midgrade Gas,3/7/2019,2.519,1.877868097
10808,Premium Gas,3/7/2019,2.709,2.009665874
10808,Unleaded Gas,3/7/2019,2.159,1.8054
10808,Midgrade Gas,3/8/2019,2.519,1.907608679
10808,Premium Gas,3/8/2019,2.709,1.996890035
10808,Unleaded Gas,3/8/2019,2.159,1.8017
10808,Midgrade Gas,3/9/2019,2.519,1.893697733
10808,Premium Gas,3/9/2019,2.709,1.992074145
10808,Unleaded Gas,3/9/2019,2.159,1.8017
10808,Midgrade Gas,3/10/2019,2.519,1.910129423
10808,Premium Gas,3/10/2019,2.709,1.986604022
10808,Unleaded Gas,3/10/2019,2.159,1.8017
10808,Midgrade Gas,3/11/2019,2.589,1.935591592
10808,Premium Gas,3/11/2019,2.779,2.043522946
10808,Unleaded Gas,3/11/2019,2.229,1.826
10808,Midgrade Gas,3/12/2019,2.589,1.902503579
10808,Premium Gas,3/12/2019,2.779,1.986360969
10808,Unleaded Gas,3/12/2019,2.229,1.8155
10808,Midgrade Gas,3/13/2019,2.619,1.964274445
10808,Premium Gas,3/13/2019,2.809,2.060593926
10808,Unleaded Gas,3/13/2019,2.259,1.8568
10808,Midgrade Gas,3/14/2019,2.659,1.959817603
10808,Premium Gas,3/14/2019,2.849,2.050990829
10808,Unleaded Gas,3/14/2019,2.299,1.8495
10808,Midgrade Gas,3/15/2019,2.659,1.952845887
10808,Premium Gas,3/15/2019,2.849,2.047357812
10808,Unleaded Gas,3/15/2019,2.299,1.8577
10808,Midgrade Gas,3/16/2019,2.659,1.983347728
10808,Premium Gas,3/16/2019,2.849,2.056084766
10808,Unleaded Gas,3/16/2019,2.299,1.8577
10808,Midgrade Gas,3/17/2019,2.659,1.93796455
10808,Premium Gas,3/17/2019,2.849,2.077808923
10808,Unleaded Gas,3/17/2019,2.299,1.8577
10808,Midgrade Gas,3/18/2019,2.659,2.006777039
10808,Premium Gas,3/18/2019,2.849,2.091021547
10808,Unleaded Gas,3/18/2019,2.299,1.8828
10808,Midgrade Gas,3/19/2019,2.659,1.989077602
10808,Premium Gas,3/19/2019,2.849,2.113997631
10808,Unleaded Gas,3/19/2019,2.299,1.8931
10808,Midgrade Gas,3/20/2019,2.759,2.016249926
10808,Premium Gas,3/20/2019,2.949,2.142441048
10808,Unleaded Gas,3/20/2019,2.399,1.9166
10808,Midgrade Gas,3/21/2019,2.759,2.042580732
10808,Premium Gas,3/21/2019,2.949,2.127592407
10808,Unleaded Gas,3/21/2019,2.399,1.9203
10808,Midgrade Gas,3/22/2019,2.759,2.003809099
10808,Premium Gas,3/22/2019,2.949,2.11760947
10808,Unleaded Gas,3/22/2019,2.399,1.9259
10808,Midgrade Gas,3/23/2019,2.759,2.051655805
10808,Premium Gas,3/23/2019,2.949,2.137677624
10808,Unleaded Gas,3/23/2019,2.399,1.9259
10808,Midgrade Gas,3/24/2019,2.759,2.051660167
10808,Premium Gas,3/24/2019,2.949,2.143788176
10808,Unleaded Gas,3/24/2019,2.399,1.9259
10808,Midgrade Gas,3/25/2019,2.759,2.038054468
10808,Premium Gas,3/25/2019,2.949,2.160108823
10808,Unleaded Gas,3/25/2019,2.399,1.9379
10808,Midgrade Gas,3/26/2019,2.759,2.038609912
10808,Premium Gas,3/26/2019,2.949,2.154336717
10808,Unleaded Gas,3/26/2019,2.399,1.9557
10808,Midgrade Gas,3/27/2019,2.819,2.019037356
10808,Premium Gas,3/27/2019,3.009,2.083346427
10808,Unleaded Gas,3/27/2019,2.459,1.8955
10808,Midgrade Gas,3/28/2019,2.819,1.954839164
10808,Premium Gas,3/28/2019,3.009,2.063179167
10808,Unleaded Gas,3/28/2019,2.459,1.8799
10808,Midgrade Gas,3/29/2019,2.819,2.001049625
10808,Premium Gas,3/29/2019,3.009,2.07154397
10808,Unleaded Gas,3/29/2019,2.459,1.8956
10808,Midgrade Gas,3/30/2019,2.819,2.002522527
10808,Premium Gas,3/30/2019,3.009,2.098635929
10808,Unleaded Gas,3/30/2019,2.459,1.8956
10808,Midgrade Gas,3/31/2019,2.819,1.967410755
10808,Premium Gas,3/31/2019,3.009,2.068020021
10808,Unleaded Gas,3/31/2019,2.459,1.8956
10808,Midgrade Gas,4/1/2019,2.819,1.981456214
10808,Premium Gas,4/1/2019,3.009,2.086235055
10808,Unleaded Gas,4/1/2019,2.459,1.8989
10808,Midgrade Gas,4/2/2019,2.819,2.018880676
10808,Premium Gas,4/2/2019,3.009,2.157610426
10808,Unleaded Gas,4/2/2019,2.459,1.9285
10808,Midgrade Gas,4/3/2019,2.819,2.049847424
10808,Premium Gas,4/3/2019,3.009,2.161442702
10808,Unleaded Gas,4/3/2019,2.459,1.9512
10808,Midgrade Gas,4/4/2019,2.819,2.014779042
10808,Premium Gas,4/4/2019,3.009,2.126379386
10808,Unleaded Gas,4/4/2019,2.459,1.9399
10808,Midgrade Gas,4/5/2019,2.819,2.06546435
10808,Premium Gas,4/5/2019,3.009,2.179685167
10808,Unleaded Gas,4/5/2019,2.459,1.9687
10808,Midgrade Gas,4/6/2019,2.819,2.097007569
10808,Premium Gas,4/6/2019,3.009,2.192546304
10808,Unleaded Gas,4/6/2019,2.459,1.9687
10808,Midgrade Gas,4/7/2019,2.819,2.043577295
10808,Premium Gas,4/7/2019,3.009,2.177909163
10808,Unleaded Gas,4/7/2019,2.459,1.9687
10808,Midgrade Gas,4/8/2019,2.819,2.101828903
10808,Premium Gas,4/8/2019,3.009,2.206141021
10808,Unleaded Gas,4/8/2019,2.459,1.988
10808,Midgrade Gas,4/9/2019,2.859,2.126377887
10808,Premium Gas,4/9/2019,3.049,2.203453921
10808,Unleaded Gas,4/9/2019,2.499,1.999
10808,Midgrade Gas,4/10/2019,2.859,2.165866481
10808,Premium Gas,4/10/2019,3.049,2.287744776
10808,Unleaded Gas,4/10/2019,2.499,2.0692
10808,Midgrade Gas,4/11/2019,2.859,2.146540805
10808,Premium Gas,4/11/2019,3.049,2.20665605
10808,Unleaded Gas,4/11/2019,2.499,2.0309
10808,Midgrade Gas,4/12/2019,2.859,2.141666838
10808,Premium Gas,4/12/2019,3.049,2.211242128
10808,Unleaded Gas,4/12/2019,2.499,2.037
10808,Midgrade Gas,4/13/2019,2.859,2.157602838
10808,Premium Gas,4/13/2019,3.049,2.240348008
10808,Unleaded Gas,4/13/2019,2.499,2.037
10808,Midgrade Gas,4/14/2019,2.859,2.150457793
10808,Premium Gas,4/14/2019,3.049,2.214239504
10808,Unleaded Gas,4/14/2019,2.499,2.037
10808,Midgrade Gas,4/15/2019,2.859,2.139824066
10808,Premium Gas,4/15/2019,3.049,2.210796676
10808,Unleaded Gas,4/15/2019,2.499,2.0118
10808,Midgrade Gas,4/16/2019,2.859,2.129242928
10808,Premium Gas,4/16/2019,3.049,2.216686631
10808,Unleaded Gas,4/16/2019,2.499,2.0317
10808,Midgrade Gas,4/17/2019,2.859,2.142110789
10808,Premium Gas,4/17/2019,3.049,2.25471176
10808,Unleaded Gas,4/17/2019,2.499,2.0418
10808,Midgrade Gas,4/18/2019,2.859,2.200121467
10808,Premium Gas,4/18/2019,3.049,2.246233736
10808,Unleaded Gas,4/18/2019,2.499,2.0722
10808,Midgrade Gas,4/19/2019,2.859,2.170223774
10808,Premium Gas,4/19/2019,3.049,2.301407733
10808,Unleaded Gas,4/19/2019,2.499,2.0722
10808,Midgrade Gas,4/20/2019,2.859,2.152938468
10808,Premium Gas,4/20/2019,3.049,2.282467403
10808,Unleaded Gas,4/20/2019,2.499,2.0722
10808,Midgrade Gas,4/21/2019,2.859,2.198997179
10808,Premium Gas,4/21/2019,3.049,2.271145647
10808,Unleaded Gas,4/21/2019,2.499,2.0722
10808,Midgrade Gas,4/22/2019,2.919,2.22110532
10808,Premium Gas,4/22/2019,3.109,2.339977395
10808,Unleaded Gas,4/22/2019,2.559,2.1298
10808,Midgrade Gas,4/23/2019,2.919,2.230304099
10808,Premium Gas,4/23/2019,3.109,2.326710965
10808,Unleaded Gas,4/23/2019,2.559,2.1316
10808,Midgrade Gas,4/24/2019,2.919,2.234652625
10808,Premium Gas,4/24/2019,3.109,2.337553971
10808,Unleaded Gas,4/24/2019,2.559,2.1285
10808,Midgrade Gas,4/25/2019,2.919,2.247195102
10808,Premium Gas,4/25/2019,3.109,2.335368125
10808,Unleaded Gas,4/25/2019,2.559,2.1321
10808,Midgrade Gas,4/26/2019,2.919,2.214931319
10808,Premium Gas,4/26/2019,3.109,2.279174057
10808,Unleaded Gas,4/26/2019,2.559,2.1006
10808,Midgrade Gas,4/27/2019,2.919,2.185644649
10808,Premium Gas,4/27/2019,3.109,2.274544269
10808,Unleaded Gas,4/27/2019,2.559,2.1006
10808,Midgrade Gas,4/28/2019,2.919,2.200848267
10808,Premium Gas,4/28/2019,3.109,2.292872205
10808,Unleaded Gas,4/28/2019,2.559,2.1006
10808,Midgrade Gas,4/29/2019,2.919,2.168090623
10808,Premium Gas,4/29/2019,3.109,2.295794325
10808,Unleaded Gas,4/29/2019,2.559,2.0828
10808,Midgrade Gas,4/30/2019,2.919,2.250083625
10808,Premium Gas,4/30/2019,3.109,2.332660025
10808,Unleaded Gas,4/30/2019,2.559,2.1232
10808,Midgrade Gas,5/1/2019,2.919,2.177176604
10808,Premium Gas,5/1/2019,3.109,2.285457552
10808,Unleaded Gas,5/1/2019,2.559,2.0642
10808,Midgrade Gas,5/2/2019,2.859,2.102683121
10808,Premium Gas,5/2/2019,3.049,2.220968214
10808,Unleaded Gas,5/2/2019,2.499,2.0183
10808,Midgrade Gas,5/3/2019,2.859,2.132639023
10808,Premium Gas,5/3/2019,3.049,2.202275211
10808,Unleaded Gas,5/3/2019,2.499,2.0265
10808,Midgrade Gas,5/4/2019,2.859,2.112647438
