LocationID,ShipToNumber,StoreBrand,FuelBrand,ShipToCity,ShipToState,ShipToCountry,Latitude,Longitude
721,120411400,Exxon,Exxon,WARRENTON,VA,US,38.72836,-77.80132
722,558435400,Exxon,Exxon,MOUNT AIRY,MD,US,39.35429,-77.17043
723,203989900,Exxon,Exxon,BALTIMORE,MD,US,39.36627,-76.58467
724,689727600,Exxon,Exxon,ANNAPOLIS,MD,US,38.98367,-76.5385
725,105463400,Exxon,Exxon,GERMANTOWN,MD,US,39.18114,-77.26216
726,103136800,Exxon,Exxon,BALTIMORE,MD,US,39.34917,-76.53708
727,665828000,Exxon,Exxon,FREDERICK,MD,US,39.41906,-77.45857
728,271664500,Exxon,Exxon,HANOVER,MD,US,39.13058,-76.73828
729,137646600,Exxon,Exxon,PARKTON,MD,US,39.59113,-76.6691
730,877658500,Exxon,Exxon,CLARKSVILLE,MD,US,39.20695,-76.94258
731,565862000,Exxon,Exxon,GAITHERSBURG,MD,US,39.12589,-77.18246
732,44360600,Exxon,Exxon,GAITHERSBURG,MD,US,39.14844,-77.20694
733,123960700,Exxon,Exxon,RESTON,VA,US,38.935,-77.36329
734,345203400,Exxon,Exxon,COLUMBIA,MD,US,39.21873,-76.85832
735,22464200,Exxon,Exxon,BALTIMORE,MD,US,39.31398,-76.74982
736,561586900,Exxon,Exxon,DUNDALK,MD,US,39.28024,-76.5053
737,961405800,Exxon,Exxon,SILVER SPRING,MD,US,39.07616,-77.00199
738,218063600,Exxon,Exxon,BALTIMORE,MD,US,39.37201,-76.56711
739,576856900,Exxon,Exxon,PASADENA,MD,US,39.12521,-76.53175
740,474848900,Exxon,Exxon,COLUMBIA,MD,US,39.19754,-76.85168
741,710595000,Exxon,Exxon,BALTIMORE,MD,US,39.34886,-76.69188
742,749566600,Exxon,Exxon,DALE CITY,VA,US,38.65995,-77.3587
743,443766100,Exxon,Exxon,ROCKVILLE,MD,US,39.04428,-77.11142
744,711119800,Exxon,Exxon,WOODBRIDGE,VA,US,38.64606,-77.337
745,147094700,Exxon,Exxon,SILVER SPRING,MD,US,39.00809,-77.03999
746,805806700,Exxon,Exxon,ROCKVILLE,MD,US,39.12893,-77.16765
747,480885300,Exxon,Exxon,SILVER SPRING,MD,US,39.0822,-76.94718
748,12428900,Exxon,Exxon,WOODBRIDGE,VA,US,38.65565,-77.30728
749,634185300,Exxon,Exxon,CROFTON,MD,US,39.00995,-76.6982
750,512351800,Exxon,Exxon,BALTIMORE,MD,US,39.33379,-76.49544
751,349351700,Exxon,Exxon,BALTIMORE,MD,US,39.31786,-76.61975
752,166250100,Exxon,Exxon,LEESBURG,VA,US,39.11595,-77.56616
753,344769500,Exxon,Exxon,PASADENA,MD,US,39.11142,-76.49961
754,154020200,Exxon,Exxon,LUTHERVILLE,MD,US,39.41985,-76.61622
755,829093400,Exxon,Exxon,BETHESDA,MD,US,39.02318,-77.14992
756,531321800,Sunoco,Sunoco,RICHMOND,VA,US,37.467942,-77.523143
757,298373200,Sunoco,Sunoco,HOPEWELL,VA,US,37.26354,-77.32483
758,115130700,Sunoco,Sunoco,RICHMOND,VA,US,37.63241,-77.53978
759,449089200,Exxon,Exxon,CHESTER,VA,US,37.34803,-77.34233
